samplename,filename,polarity,code
Pool,10102016-082,neg,X1
6036-1,10102016-083,neg,X2
6036-3,10102016-084,neg,X3
6026-4,10102016-085,neg,X4
6037-1,10102016-086,neg,X5
6036-2,10102016-087,neg,X6
6039-2,10102016-088,neg,X7
6033-4,10102016-089,neg,X8
6031-1,10102016-090,neg,X9
6030-4,10102016-091,neg,X10
6034-4,10102016-092,neg,X11
6034-2,10102016-093,neg,X12
6035-3,10102016-094,neg,X13
6030-3,10102016-095,neg,X14
6029-1,10102016-096,neg,X15
Pool,10102016-099,neg,X16
6030-2,10102016-100,neg,X17
6027-3,10102016-101,neg,X18
6027-1,10102016-102,neg,X19
6033-1,10102016-103,neg,X20
6033-3,10102016-104,neg,X21
6026-3,10102016-105,neg,X22
6039-4,10102016-106,neg,X23
6039-1,10102016-107,neg,X24
6035-2,10102016-108,neg,X25
6033-2,10102016-109,neg,X26
6026-2,10102016-110,neg,X27
6032-4,10102016-111,neg,X28
6028-4,10102016-112,neg,X29
6038-2,10102016-113,neg,X30
6029-4,10102016-114,neg,X31
Pool,10102016-117,neg,X32
6028-2,10102016-118,neg,X33
6032-2,10102016-119,neg,X34
6034-1,10102016-120,neg,X35
6032-1,10102016-121,neg,X36
6034-3,10102016-122,neg,X37
6037-2,10102016-123,neg,X38
6028-3,10102016-124,neg,X39
6030-1,10102016-125,neg,X40
6038-3,10102016-126,neg,X41
6038-4,10102016-127,neg,X42
6035-1,10102016-128,neg,X43
6035-4,10102016-129,neg,X44
6037-4,10102016-130,neg,X45
6039-3,10102016-131,neg,X46
6029-2,10102016-132,neg,X47
Pool,10102016-135,neg,X48
6027-4,10102016-136,neg,X49
6028-1,10102016-137,neg,X50
6038-1,10102016-138,neg,X51
6031-2,10102016-139,neg,X52
6036-4,10102016-140,neg,X53
6031-3,10102016-141,neg,X54
6029-3,10102016-142,neg,X55
6027-2,10102016-143,neg,X56
6037-3,10102016-144,neg,X57
6031-4,10102016-145,neg,X58
6032-3,10102016-146,neg,X59
6026-1,10102016-147,neg,X60
Pool,10102016-148,neg,X61
