samplename,filename,polarity,code
Pool,10102016-009,pos,X1
6036-1,10102016-010,pos,X2
6036-3,10102016-011,pos,X3
6026-4,10102016-012,pos,X4
6037-1,10102016-013,pos,X5
6036-2,10102016-014,pos,X6
6039-2,10102016-015,pos,X7
6033-4,10102016-016,pos,X8
6031-1,10102016-017,pos,X9
6030-4,10102016-018,pos,X10
6034-4,10102016-019,pos,X11
6034-2,10102016-020,pos,X12
6035-3,10102016-021,pos,X13
6030-3,10102016-022,pos,X14
6029-1,10102016-023,pos,X15
Pool,10102016-026,pos,X16
6030-2,10102016-027,pos,X17
6027-3,10102016-028,pos,X18
6027-1,10102016-029,pos,X19
6033-1,10102016-030,pos,X20
6033-3,10102016-031,pos,X21
6026-3,10102016-032,pos,X22
6039-4,10102016-033,pos,X23
6039-1,10102016-034,pos,X24
6035-2,10102016-035,pos,X25
6033-2,10102016-036,pos,X26
6026-2,10102016-037,pos,X27
6032-4,10102016-038,pos,X28
6028-4,10102016-039,pos,X29
6038-2,10102016-040,pos,X30
6029-4,10102016-041,pos,X31
Pool,10102016-044,pos,X32
6028-2,10102016-045,pos,X33
6032-2,10102016-046,pos,X34
6034-1,10102016-047,pos,X35
6032-1,10102016-048,pos,X36
6034-3,10102016-049,pos,X37
6037-2,10102016-050,pos,X38
6028-3,10102016-051,pos,X39
6030-1,10102016-052,pos,X40
6038-3,10102016-053,pos,X41
6038-4,10102016-054,pos,X42
6035-1,10102016-055,pos,X43
6035-4,10102016-056,pos,X44
6037-4,10102016-057,pos,X45
6039-3,10102016-058,pos,X46
6029-2,10102016-059,pos,X47
Pool,10102016-062,pos,X48
6027-4,10102016-063,pos,X49
6028-1,10102016-064,pos,X50
6038-1,10102016-065,pos,X51
6031-2,10102016-066,pos,X52
6036-4,10102016-067,pos,X53
6031-3,10102016-068,pos,X54
6029-3,10102016-069,pos,X55
6027-2,10102016-070,pos,X56
6037-3,10102016-071,pos,X57
6031-4,10102016-072,pos,X58
6032-3,10102016-073,pos,X59
6026-1,10102016-074,pos,X60
Pool,10102016-075,pos,X61
