samplename,filename,polarity,code
Pool,05102016-009,pos,X1
6035-3,05102016-010,pos,X2
6036-3,05102016-011,pos,X3
6036-1,05102016-012,pos,X4
6026-3,05102016-013,pos,X5
6030-4,05102016-014,pos,X6
6035-4,05102016-015,pos,X7
6037-4,05102016-016,pos,X8
6033-3,05102016-017,pos,X9
6034-3,05102016-018,pos,X10
6038-2,05102016-019,pos,X11
6029-4,05102016-020,pos,X12
6030-3,05102016-021,pos,X13
6029-1,05102016-022,pos,X14
6026-2,05102016-023,pos,X15
Pool,05102016-026,pos,X16
6028-4,05102016-027,pos,X17
6029-2,05102016-028,pos,X18
6031-4,05102016-029,pos,X19
6032-1,05102016-030,pos,X20
6039-2,05102016-031,pos,X21
6029-3,05102016-032,pos,X22
6027-3,05102016-033,pos,X23
6038-1,05102016-034,pos,X24
6027-2,05102016-035,pos,X25
6026-4,05102016-036,pos,X26
6032-4,05102016-037,pos,X27
6028-2,05102016-038,pos,X28
6031-3,05102016-039,pos,X29
6034-4,05102016-040,pos,X30
6028-3,05102016-041,pos,X31
Pool,05102016-044,pos,X32
6033-2,05102016-045,pos,X33
6038-3,05102016-046,pos,X34
6026-1,05102016-047,pos,X35
6031-2,05102016-048,pos,X36
6031-1,05102016-049,pos,X37
6027-1,05102016-050,pos,X38
6032-3,05102016-051,pos,X39
6035-1,05102016-052,pos,X40
6035-2,05102016-053,pos,X41
6033-4,05102016-054,pos,X42
6039-3,05102016-055,pos,X43
6038-4,05102016-056,pos,X44
6037-2,05102016-057,pos,X45
6039-4,05102016-058,pos,X46
6034-2,05102016-059,pos,X47
Pool,05102016-062,pos,X48
6034-1,05102016-063,pos,X49
6027-4,05102016-064,pos,X50
6033-1,05102016-065,pos,X51
6036-4,05102016-066,pos,X52
6028-1,05102016-067,pos,X53
6030-2,05102016-068,pos,X54
6037-3,05102016-069,pos,X55
6032-2,05102016-070,pos,X56
6030-1,05102016-071,pos,X57
6037-1,05102016-072,pos,X58
6039-1,05102016-073,pos,X59
6036-2,05102016-074,pos,X60
Pool,05102016-075,pos,X61
