pathway	pathID	overlap_size	pathway_size	p-value(raw)	p-value	overlap_features(name)	overlap_features(id)	overlap_input(mzs)	total_metabolites(id)	total_metabolites(name)	overlap_input(featureidx)	input_adduct	MSMS_matching
		0	0	1.0	0.9997657355222349								
D-glucuronate degradation	PWY-5525	0	0	1.0	0.9997657355222349								
heme degradation	PWY-5874	1	1	0.11999999999999995	0.9997657355222349	biliverdin-IX-&alpha	BILIVERDINE	583.256101269	BILIVERDINE	biliverdin-IX-&alpha	7	M+H[1+]	
thymine degradation	PWY-6430	0	0	1.0	0.9997657355222349								
methionine degradation	METHIONINE-DEG1-PWY	0	0	1.0	0.9997657355222349								
fatty acid &alpha;-oxidation	PWY66-387	0	0	1.0	0.9997657355222349								
<i>trans, trans</i>-farnesyl diphosphate biosynthesis	PWY-5123	0	0	1.0	0.9997657355222349								
fatty acid &beta;-oxidation (unsaturated, odd number)	PWY-5137	0	0	1.0	0.9997657355222349								
fatty acid &beta;-oxidation (peroxisome)	PWY66-391	0	0	1.0	0.9997657355222349								
fatty acid &beta;-oxidation	FAO-PWY	0	0	1.0	0.9997657355222349								
oxidized GTP and dGTP detoxification	PWY-6502	0	0	1.0	0.9997657355222349								
fatty acid &alpha;-oxidation III	PWY66-388	0	0	1.0	0.9997657355222349								
serotonin degradation	PWY-6313	0	0	1.0	0.9997657355222349								
glutathione-mediated detoxification	PWY-4061	0	0	1.0	0.9997657355222349								
noradrenaline and adrenaline degradation	PWY-6342	0	0	1.0	0.9997657355222349								
pyrimidine deoxyribonucleosides degradation	PWY-7181	0	0	1.0	0.9997657355222349								
thyronamine and iodothyronamine metabolism	PWY-6688	0	0	1.0	0.9997657355222349								
4-hydroxy-2-nonenal detoxification	PWY-7112	0	0	1.0	0.9997657355222349								
CMP phosphorylation	PWY-7205	0	0	1.0	0.9997657355222349								
NAD phosphorylation and dephosphorylation	NADPHOS-DEPHOS-PWY-1	0	0	1.0	0.9997657355222349								
pyrimidine ribonucleosides salvage I	PWY-7193	0	0	1.0	0.9997657355222349								
GDP-glucose biosynthesis II	PWY-5661-1	0	0	1.0	0.9997657355222349								
&alpha;-tocopherol degradation	PWY-6377	0	0	1.0	0.9997657355222349								
bupropion degradation	PWY66-241	0	0	1.0	0.9997657355222349								
pyrimidine deoxyribonucleosides salvage	PWY-7199	0	0	1.0	0.9997657355222349								
arsenate detoxification I (glutaredoxin)	PWY-4202	0	0	1.0	0.9997657355222349								
NAD salvage	NAD-BIOSYNTHESIS-III	0	0	1.0	0.9997657355222349								
NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde	PWY-5653	0	0	1.0	0.9997657355222349								
pyrimidine ribonucleosides degradation	PWY0-1295	0	0	1.0	0.9997657355222349								
<i>myo</i>-inositol <i>de novo</i> biosynthesis	PWY-2301	0	1	1.0	0.9997657355222349				MYO-INOSITOL	<I>myo</I>-inositol			
lactate fermentation (reoxidation of cytosolic NADH)	PWY-5481	0	0	1.0	0.9997657355222349								
UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis I	PWY-5512	0	0	1.0	0.9997657355222349								
UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis II	PWY-5514	0	1	1.0	0.9997657355222349				GLC	&beta-D-glucose			
mevalonate pathway	PWY-922	0	0	1.0	0.9997657355222349								
gluconeogenesis	PWY66-399	0	0	1.0	0.9997657355222349								
4-hydroxyproline degradation	HYDROXYPRODEG-PWY	0	0	1.0	0.9997657355222349								
UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	UDPNACETYLGALSYN-PWY	0	0	1.0	0.9997657355222349								
icosapentaenoate biosynthesis II (metazoa)	PWY-7049	0	0	1.0	0.9997657355222349								
phosphatidylethanolamine biosynthesis II	PWY4FS-6	0	0	1.0	0.9997657355222349								
molybdenum cofactor biosynthesis	PWY-6823	0	0	1.0	0.9997657355222349								
hydrogen sulfide biosynthesis (trans-sulfuration)	PWY66-426	0	0	1.0	0.9997657355222349								
sucrose degradation	PWY66-373	0	3	1.0	0.9997657355222349				GLC;BETA-D-FRUCTOSE;ALPHA-GLUCOSE	&beta-D-glucose$&beta-D-fructofuranose$&alpha-D-glucose			
sorbitol degradation I	PWY-4101	0	1	1.0	0.9997657355222349				CPD-15382	keto-D-fructose			
spermine and spermidine degradation I	PWY-6117	0	1	1.0	0.9997657355222349				PUTRESCINE	putrescine			
flavin biosynthesis	PWY66-366	0	0	1.0	0.9997657355222349								
phenylalanine degradation/tyrosine biosynthesis	PHENYLALANINE-DEG1-PWY	0	0	1.0	0.9997657355222349								
&gamma;-linolenate biosynthesis	PWY-6000	0	0	1.0	0.9997657355222349								
L-serine degradation	SERDEG-PWY	0	0	1.0	0.9997657355222349								
serine biosynthesis (phosphorylated route)	SERSYN-PWY	0	0	1.0	0.9997657355222349								
selenocysteine biosynthesis	PWY-6281	0	0	1.0	0.9997657355222349								
chondroitin sulfate degradation (metazoa)	PWY-6573	0	0	1.0	0.9997657355222349								
dermatan sulfate degradation (metazoa)	PWY-6576	0	0	1.0	0.9997657355222349								
sulfate activation for sulfonation	PWY-5340	0	0	1.0	0.9997657355222349								
glycine betaine degradation	PWY-3661-1	0	0	1.0	0.9997657355222349								
fatty acid activation	PWY-5143	0	0	1.0	0.9997657355222349								
NADH repair	PWY-6938	0	0	1.0	0.9997657355222349								
(S)-reticuline biosynthesis	PWY-6133	0	0	1.0	0.9997657355222349								
taurine biosynthesis	PWY-5331	0	0	1.0	0.9997657355222349								
MAP kinase cascade	PWY66-14	0	0	1.0	0.9997657355222349								
BMP Signalling Pathway	PWY66-11	0	0	1.0	0.9997657355222349								
acetyl-CoA biosynthesis from citrate	PWY-5172	0	0	1.0	0.9997657355222349								
sulfite oxidation	PWY-5326	0	0	1.0	0.9997657355222349								
thio-molybdenum cofactor biosynthesis	PWY-5963	0	0	1.0	0.9997657355222349								
triacylglycerol degradation	LIPAS-PWY	0	0	1.0	0.9997657355222349								
acyl carrier protein metabolism	PWY-6012-1	0	0	1.0	0.9997657355222349								
phospholipases	LIPASYN-PWY	0	0	1.0	0.9997657355222349								
[2Fe-2S] iron-sulfur cluster biosynthesis	PWY-7250	0	0	1.0	0.9997657355222349								
glycerol degradation	PWY-4261	0	0	1.0	0.9997657355222349								
S-adenosyl-L-methionine biosynthesis	SAM-PWY	0	0	1.0	0.9997657355222349								
mitochondrial L-carnitine shuttle	PWY-6111	0	0	1.0	0.9997657355222349								
3-phosphoinositide degradation	PWY-6368	0	0	1.0	0.9997657355222349								
sphingosine and sphingosine-1-phosphate metabolism	PWY3DJ-11470	0	0	1.0	0.9997657355222349								
anandamide degradation	PWY6666-1	0	0	1.0	0.9997657355222349								
acetone degradation I (to methylglyoxal)	PWY-5451	0	0	1.0	0.9997657355222349								
pyridoxal 5'-phosphate salvage	PLPSAL-PWY	0	0	1.0	0.9997657355222349								
proline degradation	PROUT-PWY	0	0	1.0	0.9997657355222349								
proline biosynthesis	PROSYN-PWY	0	0	1.0	0.9997657355222349								
<i>S</i>-methyl-5'-thioadenosine degradation	PWY-6756	0	0	1.0	0.9997657355222349								
retinol biosynthesis	PWY-6857	0	0	1.0	0.9997657355222349								
retinoate biosynthesis II	PWY-6875	0	0	1.0	0.9997657355222349								
L-dopachrome biosynthesis	PWY-6481	0	0	1.0	0.9997657355222349								
retinoate biosynthesis I	PWY-6872	0	0	1.0	0.9997657355222349								
eumelanin biosynthesis	PWY-6498	0	0	1.0	0.9997657355222349								
the visual cycle I (vertebrates)	PWY-6861	0	0	1.0	0.9997657355222349								
uracil degradation	PWY-3982	0	0	1.0	0.9997657355222349								
