"featureidx"	"MSMS"	"fold"	"log2fold"	"tstat"	"pvalue"	"qvalue"	"pdown"	"mzmed"	"mzmin"	"mzmax"	"rtmed"	"rtmin"	"rtmax"	"maxint"	"dataset1_mean"	"dataset1_sd"	"dataset2_mean"	"dataset2_sd"	"isotopes"	"adducts"	"peakgroup"	"METLIN"	"name"	"METLIN_MSMS"
1	""	1.29247976177707	-0.370141690356492	-2.66616280129033	0.0130214864430005	1	"DOWN"	787.606650957265	787.603578428761	787.609269114608	5.77579983666667	5.75564985666667	5.83189988333333	6194.53125	16455.2720610322	3743.31988687543	12731.5510444878	3646.47174935677	"[17][M+1]+"	""	3	""	"M788T6"	"n"
2	""	1.23440092946689	-0.303811053327809	-2.39453686331814	0.0242301453762002	1	"DOWN"	783.575039668554	783.571011982944	783.57962127656	5.38726643333333	5.29201663333333	5.41316651666667	4347.04296875	12028.1956716917	2653.58243760533	9744.15636327041	2386.67821095627	"[15][M+1]+"	""	11	""	"M784T5"	"n"
3	""	1.16803158652875	-0.2240792888688	-2.25278985858051	0.0335260581337784	1	"DOWN"	786.602960982168	786.600897856589	786.606129399129	5.77579983666667	5.76023322333333	5.84370016	13210.2265625	35213.4815839925	5132.32916799789	30147.7134609372	6667.08879373817	"[17][M]+"	""	3	"3::Dioleoylphosphatidylcholine::M+H:: 5572::NA::|3::PC(16:0/20:2(11E,14E))[U]::M+H::39360::NA::|3::PC(18:0/18:2(10Z,12Z))::M+H::39505::NA::|3::PC(18:0/18:2(2E,4E))::M+H::39506::NA::|3::PC(18:0/18:2(6Z,9Z))::M+H::39507::NA::|3::PC(18:0/18:2(6Z,9Z))[U]::M+H::39508::NA::|3::PC(18:0/18:2(9Z,12Z))[U]::M+H::39510::NA::|3::PC(18:1(10E)/18:1(10E))[U]::M+H::39576::NA::|3::PC(18:1(10Z)/18:1(10Z))::M+H::39577::NA::|3::PC(18:1(11E)/18:1(11E))::M+H::39578::NA::|3::PC(18:1(11E)/18:1(11E))[U]::M+H::39579::NA::|3::PC(18:1(11Z)/18:1(11Z))[U]::M+H::39583::NA::|3::PC(18:1(12E)/18:1(12E))[U]::M+H::39589::NA::|3::PC(18:1(12Z)/18:1(12Z))::M+H::39590::NA::|3::PC(18:1(13E)/18:1(13E))[U]::M+H::39591::NA::|3::PC(18:1(13Z)/18:1(13Z))::M+H::39592::NA::|3::PC(18:1(14E)/18:1(14E))[U]::M+H::39593::NA::|3::PC(18:1(14Z)/18:1(14Z))::M+H::39594::NA::|3::PC(18:1(15E)/18:1(15E))[U]::M+H::39595::NA::|3::PC(18:1(15Z)/18:1(15Z))::M+H::39596::NA::|3::PC(18:1(16E)/18:1(16E))[U]::M+H::39597::NA::|3::PC(18:1(16Z)/18:1(16Z))::M+H::39598::NA::|3::PC(18:1(17Z)/18:1(17Z))::M+H::39599::NA::|3::PC(18:1(2E)/18:1(2E))[U]::M+H::39600::NA::|3::PC(18:1(2Z)/18:1(2Z))::M+H::39601::NA::|3::PC(18:1(3E)/18:1(3E))[U]::M+H::39602::NA::|3::PC(18:1(3Z)/18:1(3Z))::M+H::39603::NA::|3::PC(18:1(4E)/18:1(4E))[U]::M+H::39604::NA::|3::PC(18:1(5E)/18:1(5E))[U]::M+H::39605::NA::|3::PC(18:1(5Z)/18:1(5Z))::M+H::39606::NA::"	"M787T6"	"y"
4	""	1.12992885222483	-0.176231933902476	-1.98534532166874	0.0584748416321199	1	"DOWN"	708.512520268623	708.510786088817	708.513429909538	5.91698315166667	5.90581663333333	5.93038331333333	653.2119140625	2076.57000503192	273.809869405468	1837.78828281369	357.132424530976	""	""	42	"7::PS(O-16:0/15:0)::M+H::78652::NA::|7::PS(O-18:0/13:0)::M+H::78666::NA::|7::PG(P-16:0/15:1(9Z))::M+NH4::79910::NA::"	"M709T6"	"y"
5	""	1.27677246557684	0.352501444357671	1.9794790576698	0.0616923670004708	1	"UP"	788.619348090687	788.616114671799	788.621786357032	6.1366669	6.10609988	6.17395010666667	5848.75390625	10122.1813423034	2518.33629436783	12923.7224294286	4658.40174298693	"[19][M]+"	""	15	"4::PC(16:0/20:1(11Z))[U]::M+H::39359::NA::|4::PC(18:0/18:1(11E))[U]::M+H::39490::NA::|4::PC(18:0/18:1(12Z))::M+H::39492::NA::|4::PC(18:0/18:1(12Z))[U]::M+H::39493::NA::|4::PC(18:0/18:1(13Z))::M+H::39494::NA::|4::PC(18:0/18:1(16Z))::M+H::39495::NA::|4::PC(18:0/18:1(16Z))[U]::M+H::39496::NA::|4::PC(18:0/18:1(6Z))::M+H::39497::NA::|4::PC(18:0/18:1(6Z))[U]::M+H::39498::NA::|4::PC(18:0/18:1(7Z))::M+H::39499::NA::|4::PC(18:0/18:1(9E))::M+H::39500::NA::|4::PC(18:0/18:1(9E))[U]::M+H::39501::NA::|4::PC(18:0/18:1(9Z))[S]::M+H::39503::NA::|4::PC(18:0/18:1(9Z))[U]::M+H::39504::NA::|4::PC(18:1(9E)/18:0)[U]::M+H::39616::NA::|4::PC(18:1(9Z)/18:0)[U]::M+H::39630::NA::|4::PC(20:1(11Z)/16:0)[U]::M+H::39778::NA::|4::PC(14:0/22:1(13Z))::M+H::59337::NA::|4::PC(14:1(9Z)/22:0)::M+H::59369::NA::|4::PC(16:0/20:1(11Z))::M+H::59427::NA::|4::PC(16:1(9Z)/20:0)::M+H::59458::NA::|4::PC(18:0/18:1(11Z))::M+H::59485::NA::|4::PC(18:0/18:1(9Z))::M+H::59486::NA::|4::PC(18:1(11Z)/18:0)::M+H::59516::NA::|4::PC(18:1(9Z)/18:0)::M+H::59549::NA::|4::PC(20:0/16:1(9Z))::M+H::59712::NA::|4::PC(20:1(11Z)/16:0)::M+H::59744::NA::|4::PC(22:0/14:1(9Z))::M+H::59972::NA::|4::PC(22:1(13Z)/14:0)::M+H::60004::NA::|4::PE(15:0/24:1(15Z))::M+H::60358::NA::"	"M789T6"	"y"
6	""	1.07919019467542	-0.109949145395284	-1.68238915980457	0.105515550470113	1	"DOWN"	189.069262698012	189.0683848536	189.070502993683	2.36146672333333	2.35455011333333	2.37244989	4014.240234375	7249.91146202578	701.692319916769	6717.91821107705	952.62624680436	""	""	20	"0::Carbimazole::M+H:: 1519::NA::|0::4-Toluenesulfonamide::M+NH4::70041::NA::|0::2-(4-Methyl-5-thiazolyl)ethyl formate::M+NH4::88444::NA::|0::o-Toluenesulfamide::M+NH4:: 3056::NA::|9::3-(4-Methyl-3-pentenyl)thiophene::M+Na::92919::NA::"	"M189T2"	"y"
7	""	1.26061765924389	0.334130777844068	1.61222972012783	0.119226545719377	1	"UP"	583.256101269249	583.254419967299	583.25673196253	4.99756647666667	4.99665017333333	5.0002832	1232.029296875	485.414334584642	192.354134829867	611.921882227521	221.810384755546	""	""	39	"0::Asp Asp Arg Arg::M+Na::120574::NA::|0::Asp Arg Asp Arg::M+Na::125134::NA::|0::Asp Arg Arg Asp::M+Na::125362::NA::|0::Arg Asp Asp Arg::M+Na::216333::NA::|0::Arg Asp Arg Asp::M+Na::216561::NA::|0::Arg Arg Asp Asp::M+Na::221121::NA::|1::Azelnidipine::M+H::990682::NA::|2::Biliverdin IX::M+H::  6608::NA::|3::Glu Met Thr Trp::M+NH4::131818::NA::|3::Glu Met Trp Thr::M+NH4::131856::NA::|3::Glu Thr Met Trp::M+NH4::134098::NA::|3::Glu Thr Trp Met::M+NH4::134250::NA::|3::Glu Trp Met Thr::M+NH4::134896::NA::|3::Glu Trp Thr Met::M+NH4::135010::NA::|3::Met Glu Thr Trp::M+NH4::185017::NA::|3::Met Glu Trp Thr::M+NH4::185055::NA::|3::Met Thr Glu Trp::M+NH4::189957::NA::|3::Met Thr Trp Glu::M+NH4::190242::NA::|3::Met Trp Glu Thr::M+NH4::190755::NA::|3::Met Trp Thr Glu::M+NH4::191002::NA::|3::Thr Glu Met Trp::M+NH4::232897::NA::|3::Thr Glu Trp Met::M+NH4::233049::NA::|3::Thr Met Glu Trp::M+NH4::235557::NA::|3::Thr Met Trp Glu::M+NH4::235842::NA::|3::Thr Trp Glu Met::M+NH4::238749::NA::|3::Thr Trp Met Glu::M+NH4::238882::NA::|3::Trp Glu Met Thr::M+NH4::248895::NA::|3::Trp Glu Thr Met::M+NH4::249009::NA::|3::Trp Met Glu Thr::M+NH4::251555::NA::|3::Trp Met Thr Glu::M+NH4::251802::NA::"	"M583T5"	"y"
8	""	1.07735275350226	0.107490703366896	1.51649256738383	0.141560060553337	1	"UP"	760.586997550827	760.582621299216	760.589666675297	5.70803343333333	5.69873321333333	5.72783325333333	10672.7578125	18066.3096036754	2324.09368507899	19463.788397144	2547.03468055565	"[12][M]+"	""	4	"3::PC(16:0/18:1(11E))::M+H::39317::NA::|3::PC(16:0/18:1(11Z))[U]::M+H::39319::NA::|3::PC(16:0/18:1(6E))::M+H::39320::NA::|3::PC(16:0/18:1(6Z))::M+H::39321::NA::|3::PC(16:0/18:1(6Z))[U]::M+H::39322::NA::|3::PC(16:0/18:1(9E))::M+H::39323::NA::|3::PC(16:0/18:1(9E))[U]::M+H::39324::NA::|3::PC(16:0/18:1(9Z))[S]::M+H::39325::NA::|3::PC(16:0/18:1(9Z))[U]::M+H::39326::NA::|3::PC(16:1(7Z)/18:0)[U]::M+H::39420::NA::|3::PC(16:1(9Z)/18:0)[U]::M+H::39427::NA::|3::PC(18:1(9E)/16:0)[U]::M+H::39615::NA::|3::PC(18:1(9Z)/16:0)[U]::M+H::39626::NA::|3::PC(14:0/20:1(11Z))::M+H::59329::NA::|3::PC(14:1(9Z)/20:0)::M+H::59361::NA::|3::PC(16:0/18:1(11Z))::M+H::59420::NA::|3::PC(16:0/18:1(9Z))::M+H::59421::NA::|3::PC(16:1(9Z)/18:0)::M+H::59451::NA::|3::PC(18:0/16:1(9Z))::M+H::59483::NA::|3::PC(18:1(11Z)/16:0)::M+H::59514::NA::|3::PC(18:1(9Z)/16:0)::M+H::59547::NA::|3::PC(20:0/14:1(9Z))::M+H::59709::NA::|3::PC(20:1(11Z)/14:0)::M+H::59741::NA::|3::PE(15:0/22:1(13Z))::M+H::60351::NA::|3::PE(22:1(13Z)/15:0)::M+H::60905::NA::|3::PC(12:0/22:1(11Z))::M+H::75615::NA::|3::PC(15:0/19:1(9Z))::M+H::75699::NA::|3::PC(15:1(9Z)/19:0)::M+H::75728::NA::|3::PC(17:0/17:1(9Z))::M+H::75783::NA::|3::PC(17:1(9Z)/17:0)::M+H::75809::NA::"	"M761T6"	"y"
9	""	1.05961988908801	0.0835468284911294	1.48141327783074	0.153109878517369	1	"UP"	482.404197547549	482.403001553707	482.405852673085	4.80675006333333	4.80639981666667	4.81283345	713.90625	956.248405612758	74.3300478587304	1013.25982949598	123.328098451562	""	""	30	""	"M482T5"	"n"
10	""	1.20139503035916	0.264710601196907	1.48817579180093	0.154757994558944	1	"UP"	812.619922391304	812.618348969007	812.62238982699	5.85286652	5.84321646333333	5.86721681333333	4136.07421875	5735.50454311341	1101.63416779787	6890.60665469882	2687.17717026381	"[24][M]+"	""	18	"4::PC(16:0/22:3(13Z,16Z,19Z))[U]::M+H::39382::NA::|4::PC(18:0/20:3(5E,8E,11E))[U]::M+H::39535::NA::|4::PC(18:0/20:3(5Z,11Z,14Z))::M+H::39536::NA::|4::PC(18:0/20:3(5Z,8Z,11Z))[U]::M+H::39538::NA::|4::PC(18:0/20:3(5Z,8Z,14Z))::M+H::39539::NA::|4::PC(18:0/20:3(8Z,11Z,14Z))[U]::M+H::39541::NA::|4::PC(18:2(9Z,12Z)/20:1(13Z))::M+H::39683::NA::|4::PC(16:1(9Z)/22:2(13Z,16Z))::M+H::59468::NA::|4::PC(18:0/20:3(5Z,8Z,11Z))::M+H::59494::NA::|4::PC(18:0/20:3(8Z,11Z,14Z))::M+H::59495::NA::|4::PC(18:1(11Z)/20:2(11Z,14Z))::M+H::59525::NA::|4::PC(18:1(9Z)/20:2(11Z,14Z))::M+H::59557::NA::|4::PC(18:2(9Z,12Z)/20:1(11Z))::M+H::59590::NA::|4::PC(18:3(6Z,9Z,12Z)/20:0)::M+H::59621::NA::|4::PC(18:3(9Z,12Z,15Z)/20:0)::M+H::59654::NA::|4::PC(20:0/18:3(6Z,9Z,12Z))::M+H::59717::NA::|4::PC(20:0/18:3(9Z,12Z,15Z))::M+H::59718::NA::|4::PC(20:1(11Z)/18:2(9Z,12Z))::M+H::59749::NA::|4::PC(20:2(11Z,14Z)/18:1(11Z))::M+H::59780::NA::|4::PC(20:2(11Z,14Z)/18:1(9Z))::M+H::59781::NA::|4::PC(20:3(5Z,8Z,11Z)/18:0)::M+H::59812::NA::|4::PC(20:3(8Z,11Z,14Z)/18:0)::M+H::59845::NA::|4::PC(22:2(13Z,16Z)/16:1(9Z))::M+H::60040::NA::|4::PE(19:1(9Z)/22:2(13Z,16Z))::M+H::77056::NA::|4::PE(20:3(8Z,11Z,14Z)/21:0)::M+H::77162::NA::|4::PE(21:0/20:3(8Z,11Z,14Z))::M+H::77244::NA::|4::PE(22:2(13Z,16Z)/19:1(9Z))::M+H::77324::NA::|4::PA(21:0/22:4(7Z,10Z,13Z,16Z))::M+NH4::81866::NA::|4::PA(22:4(7Z,10Z,13Z,16Z)/21:0)::M+NH4::81977::NA::|8::PE(18:0/21:0)[U]::M+Na::40469::NA::"	"M813T6_2"	"y"
