featureidx	name	fold	log2fold	tstat	pvalue	qvalue	updown	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	serum_pos_ab_zip	serum_pos_aw_zip	maxint	mean1	sd1	mean2	sd2	10102016-012	10102016-016	10102016-020	10102016-027	10102016-033	10102016-035	10102016-039	10102016-040	10102016-041	10102016-046	10102016-057	10102016-066	10102016-067	10102016-070	10102016-014	10102016-015	10102016-018	10102016-019	10102016-036	10102016-037	10102016-038	10102016-045	10102016-050	10102016-054	10102016-056	10102016-059	10102016-063	10102016-072
1	M482T5	1.13961972669164	0.188552499882408	2.36532405581192	0.0281020209807148	1	UP	482.403740049001	482.401538448174	482.40527083434	4.806616765	4.80639981666667	4.80904997333333	16	8	8	713.90625	716.470141766567	76.4319954193931	816.503507142735	138.557841314045	670.383363772419	674.212290183199	773.089425439759	747.9921150757	671.198611489831	753.071113485429	705.343899909407	628.067379117012	755.618673146237	699.463748107005	540.77018406709	827.512770384803	798.85970090851	784.998709645536	963.091138173827	732.363739106059	590.188052304614	1078.82802004139	761.293310442707	874.593225067695	679.049775771797	794.045853458147	658.468308109324	765.401362876097	766.873712377623	987.990410628358	839.119263818238	939.742927822411
2	M497T5	1.14443370981656	-0.194633898639622	-2.31373459655967	0.0292534058896479	1	DOWN	497.34503660051	497.341594308369	497.34783269516	4.69682491666667	4.69504989	4.70008353	28	14	14	4512.4609375	4556.75235346606	581.704252048547	3981.6656171343	725.619506573979	5713.00716650044	3448.44108957714	5005.14316560699	5421.3596629967	4536.07620683579	4890.43221562574	4284.18913523675	4643.78713465336	4215.84165286013	4123.35929345899	4703.71113382965	4397.1983337036	4423.08259887341	3988.90415876617	4093.7852234197	3712.35068312961	4008.1962617099	3336.06741520781	4141.36527076289	4028.82112727973	5658.26978910078	3202.13775693991	5179.23752340463	3581.8736536111	4226.97571812278	3015.66579367221	4115.85191289602	3442.72051062318
3	M788T6	1.57387842058994	0.654324099430823	1.78295896963603	0.0887157765414677	1	UP	787.607218064876	787.601566973506	787.609755467202	5.78227498	5.75186686	5.84398347666667	30	11	11	6194.53125	5656.85086378836	3549.28312903384	8903.19550301208	5815.07084457525	8063.76648674861	15732.3544811318	6859.42212654352	6977.5276851356	6552.08566675186	7318.43033965472	941.406664548605	4915.4543011275	4133.84633989984	3083.34920055094	4083.84047612327	4067.94827430913	4017.57998800066	2448.90006251096	6178.91278382088	8746.69768697585	17658.6704751564	8486.54021993051	5962.23381897211	6446.97091493905	3746.44472047467	16636.6862760696	6906.2531104294	1608.74735381951	6512.8962469697	14506.4168807149	1848.38267683475	19398.8838770618
4	M583T5	1.29534152487561	0.373332523614387	1.63587942800543	0.114744390043528	1	UP	583.255908051784	583.253226846263	583.256786757482	4.99724983333333	4.99629992666667	4.99959988333333	9	2	7	1232.029296875	447.749614341914	183.597760715363	579.98866820412	240.366001942177	352.147441785783	249.473972330801	405.530480735625	267.471188095088	385.097099949645	446.229203876108	581.098599412079	682.858035061508	574.055642588397	683.798599018872	794.059531145307	300.214507954461	319.060592158232	227.399706674895	534.114178415446	312.566113256291	281.299474782776	318.600124679506	491.518471899442	497.232064678489	681.391792297363	660.233998111231	524.536116986845	556.60550937344	673.441472769297	1019.00887431737	1100.61011642209	468.683046868092
5	M203T0	1.11291582833874	-0.154344483398389	-1.44994945513374	0.159482608878175	1	DOWN	203.053081921394	203.052589839707	203.053912886071	0.486533344	0.482933342	0.582583308	24	10	13	917.29931640625	1161.59440748543	192.877652643854	1043.73967725785	235.144219778024	1283.92063295024	1110.59156837003	1142.92425055864	1204.77372108615	1069.54749507197	1141.51574756793	1290.32065614072	960.272124318872	1404.45223777283	656.402403220888	1271.85333131227	1181.05534041692	1119.69974498577	1424.99245102285	811.170264379904	1252.87814031861	1222.97995476573	749.912705502741	1190.67209035757	707.136801601578	1183.6705466341	1214.64485606863	1108.1063690757	1058.92312205548	1369.93593714886	1235.76300190194	788.313469292453	718.248222506627
6	M811T6	1.22213291605269	-0.289401197515217	-1.42102408314828	0.167618218913073	1	DOWN	810.602892179025	810.601208129014	810.606798431326	5.65671668666667	5.6423001	5.67143345	27	12	14	9890.546875	14180.771765719	5235.09273921361	11603.297464175	4318.88113406308	5981.87177075349	5228.70274454977	19233.2889419685	18717.5128339639	17048.7669289982	17214.2062597548	15063.5500691169	7433.65493457434	8133.5010180827	18851.8716378389	18651.9563434258	14494.0724025269	13776.3239148861	18701.5249196262	10083.8853101288	15661.1012134272	10161.3920364846	9938.87702318536	5646.42764035425	12510.0142721234	10543.5462824298	16419.1181667018	20526.7878573956	15710.7287827683	7044.96598470035	5591.28637865388	9781.081273398	12826.9522766988
7	M525T5	1.14894887808957	0.200314607411834	1.39901128203836	0.173830315060272	1	UP	525.375973192125	525.373123753819	525.379896033769	4.81730827833333	4.81361645666667	4.82281666	26	14	12	3169.017578125	2817.43260691106	844.374739150519	3237.08603280342	739.412843802203	3232.95442064078	2646.23091517039	2135.33778418706	3526.64389029732	3620.9863358998	2130.81414632623	1723.07008966314	3144.05276993445	2213.37693879876	1955.87024458495	3490.06770963156	2283.5366531693	2580.45687940371	4760.65771904737	2627.89265353242	4681.22233976128	3755.25982806195	2846.324839212	3186.01093392398	3976.23788726444	4033.15159526761	3416.87072424482	3036.34329926626	1872.19942751633	2904.1239179155	2597.35094401752	3735.07664079219	2651.13942847157
8	M680T4	1.12296524334066	0.16731327588095	1.38157062335267	0.184910467437823	1	UP	679.513687060567	679.510373993555	679.518224831438	3.60644997	3.55561668333333	3.61008327	23	10	13	3945.38671875	2509.58027644821	775.646118544444	2818.17142582459	311.198899787604	3878.7738290306	3317.99999535088	2759.77321955608	1656.02481655777	2591.72750263842	1420.41591121409	2545.91295951605	2980.69748641945	1792.7392321676	3427.19470130584	2194.4485801848	1406.14113975565	2132.55049157683	3029.72400500085	3375.96112681741	2985.94748929238	2725.96659427189	2597.46053103648	2862.3972986565	2354.6016844586	2639.92264318009	3063.1435846503	2717.68209017551	2589.92784217211	2393.92545759772	2752.48463538242	3098.50771763535	3296.47126621744
9	M498T5	1.10659769442354	-0.146130823067253	-1.34695465535713	0.190350781311196	1	DOWN	498.350937569725	498.345967109687	498.35482474333	4.69936663	4.69590019333333	4.70026684666667	15	5	10	1215.189453125	814.491918586544	172.464253013505	736.032546146624	133.259389707187	790.432723613083	796.51366327703	775.831793614974	1117.19062648714	1144.37182253765	942.678070361416	851.174883789376	702.250712054471	658.015092795938	580.493239715695	687.870964381099	793.577487396076	947.871133371653	614.614646816016	713.776574947418	847.048938493244	506.443963047618	805.05627559283	668.999462484448	785.837124717732	862.87874607948	860.973113137633	827.214930345901	753.903504345566	908.990719238917	647.205752734489	480.277678954462	635.848861932992
10	M680T6	1.14387262537721	0.193926411410365	1.31046759951649	0.202474061834379	1	UP	680.480777351288	680.478960208688	680.481978810413	5.910133405	5.90425006666667	5.91464996666667	14	9	5	754.2158203125	1568.73156207764	518.280698895186	1794.42909042585	382.953901827002	2412.82344207607	1057.11548227023	1538.78892531297	1819.58536535567	2063.01480177925	1617.43161869721	1558.98247557599	1819.02479962465	1944.17583103737	2007.77211605163	1116.82778823074	1601.39351808697	473.181383478117	932.124321510118	2336.82324996891	2384.43137289561	1533.13279027596	1938.83756833023	1259.17744319955	2231.51604924917	2311.07125008287	1864.47418012567	1477.27332197062	1577.28146186522	1516.44356257847	1630.6992766532	1399.10897234785	1661.7367664186
11	M703T5	1.14967180357726	-0.201222074275531	-1.29559068880252	0.206522480323732	1	DOWN	702.563627755842	702.562252625367	702.565421431643	5.28390836166667	5.27999994	5.28781647333333	18	9	9	727.76513671875	1180.19143356624	306.928584488895	1026.54638471085	320.448919237522	1680.10421445973	1028.34767133849	821.680986490091	1518.63708475932	1655.51962609188	1315.54794169974	1303.69935377107	1298.66865449456	1055.4631713227	1303.30580639121	685.319619332357	904.922693556707	969.396391367074	982.066854852385	1551.60931225477	781.170944232584	1104.56913871393	1331.99620344477	1160.44096100552	651.71922490449	1023.27439499013	1530.30194233339	908.799491216753	442.466678486043	1065.9002120873	1167.91094069396	702.744432022478	948.745509565808
12	M808T5	1.2603670573926	-0.333843951790033	-1.28825583476595	0.209153674318921	1	DOWN	807.576385740959	807.572264966898	807.579010618513	5.30881682666667	5.23841654666667	5.32709977666667	27	9	12	4588.1484375	7024.01257807211	2802.75762477333	5572.98965953864	3147.34035103639	11784.6481651735	7276.41961180468	7345.08053712324	5083.80152626599	6106.91820397071	6943.85433175564	8145.33612736919	7249.63294660104	9259.33269668746	9290.95794409513	9394.73093982254	774.678052177736	2716.28642828156	6964.49858188116	6093.28363341794	1455.60129060693	10485.6963488251	2708.92743093028	10231.7402393371	9382.34198197021	3886.3059146835	3369.75105037791	9673.30377734244	4255.42153387321	6596.81364193772	3319.76281829543	3529.70575945947	3033.19981248365
13	M159T0	1.08545362710732	0.118298092262251	1.28241814117048	0.214270744810779	1	UP	158.964973040913	158.96393719601	158.965307616249	0.446866679333333	0.445083318333333	0.450733322666667	28	14	14	1007.15869140625	1567.10941570645	342.881993072465	1701.02459935261	187.331346831474	1927.06905670414	1835.92619035772	1699.50413761946	930.338671624511	1742.56480135556	1668.0080302866	1667.65641449264	1661.33834634298	1075.0352540508	1765.41675123727	1695.40625899924	1688.10139014362	1727.01459229995	856.151924375862	1914.02718938902	1913.51084558088	1702.04645714998	1749.54401341612	1715.67181071779	1687.22645614388	1683.55647751456	1741.19625744271	1679.01573290832	1761.07131786154	1714.53347220243	1727.05921491039	1104.65932221535	1721.22582348361
14	M785T6	1.22724134683784	0.295418994434129	1.26330148047981	0.220084058454769	1	UP	784.586576498789	784.581282126506	784.588331863823	5.53049155333333	5.51210000333333	5.54278317666667	14	6	8	7309.91015625	7959.12962437562	2770.93543674054	9767.77295987566	4584.51954461951	5914.31212465743	12622.699872951	11757.6534857324	11050.465058612	7774.36936438935	10164.9130628109	3493.20044884578	8477.41293583598	4486.86805370294	7495.42481601437	7221.03776399046	8239.01573258425	4519.79538035263	8210.6466407792	12337.4267739032	17248.0802427209	20019.5481948279	7281.1865337441	3774.10153587195	5393.29610437725	7556.89118584565	14040.020009736	8362.87753478331	7240.65818020488	9284.19505854803	7172.32637052866	7348.0550375444	9690.15867562294
15	M681T4	1.12471390124358	-0.169558062998193	-1.21426963413924	0.235650221039797	1	DOWN	680.515615795912	680.511136918019	680.519992745107	3.60646674666667	3.55300011333333	3.61008327	17	9	8	1973.2998046875	1229.26012222138	310.342535589078	1092.9536132364	283.020602396495	1868.76969384163	1519.70691193185	1373.9706395377	759.353635728359	973.476348423216	1314.33992721559	1116.13835534302	1402.45848883094	1124.61080477387	1494.93584624007	766.575092472255	936.019418737607	1193.50492292038	1365.78162510283	1315.06540633859	1305.46707996327	1086.78730696599	1149.77078415476	1073.53759765625	824.360451489687	899.285493758988	699.212172272289	1676.79179600812	1245.77505226806	1065.85452524945	998.374920266069	1354.23881997388	606.82917894423
16	M994T5	1.23392127574692	0.303250353391311	1.15867193925021	0.257229180000728	1	UP	993.690135117458	993.685167522524	993.69471300866	4.69939994	4.69504989	4.69966680333333	16	8	8	2935.25	884.766649001347	812.482706977031	1223.79741545135	733.827110440114	0	0	0	1612.55876098927	1477.08711847704	1906.17366884886	1349.19948391047	1502.15238805825	0	0	0	1352.20736857499	1328.60680455065	1858.74749260934	0	1861.55980805977	1362.67336231843	1904.0237285531	0	1519.93492877645	1939.34668059536	1264.80810169168	2173.89480321761	1269.26251935884	1541.47851801697	1158.74219337966	0	1137.43917235106
