row ID,row m/z,row retention time,10102016-08301.CDF Peak height,10102016-08401.CDF Peak height,10102016-08201.CDF Peak height,10102016-08501.CDF Peak height,10102016-08801.CDF Peak height,10102016-08901.CDF Peak height,10102016-08701.CDF Peak height,10102016-08601.CDF Peak height,10102016-09001.CDF Peak height,10102016-09301.CDF Peak height,10102016-09201.CDF Peak height,10102016-09101.CDF Peak height,10102016-10001.CDF Peak height,10102016-09401.CDF Peak height,10102016-09501.CDF Peak height,10102016-09601.CDF Peak height,10102016-10101.CDF Peak height,10102016-10501.CDF Peak height,10102016-10201.CDF Peak height,10102016-09901.CDF Peak height,10102016-10701.CDF Peak height,10102016-10301.CDF Peak height,10102016-10401.CDF Peak height,10102016-10601.CDF Peak height,10102016-10901.CDF Peak height,10102016-11101.CDF Peak height,10102016-10801.CDF Peak height,10102016-11001.CDF Peak height,10102016-11801.CDF Peak height,10102016-11201.CDF Peak height,10102016-11301.CDF Peak height,10102016-11401.CDF Peak height,10102016-12401.CDF Peak height,10102016-11701.CDF Peak height,10102016-12001.CDF Peak height,10102016-11901.CDF Peak height,10102016-12101.CDF Peak height,10102016-12301.CDF Peak height,10102016-12201.CDF Peak height,10102016-12701.CDF Peak height,10102016-12601.CDF Peak height,10102016-12801.CDF Peak height,10102016-12501.CDF Peak height,10102016-13101.CDF Peak height,10102016-12901.CDF Peak height,10102016-13701.CDF Peak height,10102016-13201.CDF Peak height,10102016-13001.CDF Peak height,10102016-14101.CDF Peak height,10102016-13801.CDF Peak height,10102016-13501.CDF Peak height,10102016-13601.CDF Peak height,10102016-14301.CDF Peak height,10102016-13901.CDF Peak height,10102016-14001.CDF Peak height,10102016-14201.CDF Peak height,10102016-14501.CDF Peak height,10102016-14701.CDF Peak height,10102016-14401.CDF Peak height,10102016-14601.CDF Peak height,10102016-14801.CDF Peak height,
1,723.5028584798177,3.6073842578464084,6372.078125,6748.828125,5884.375,7451.8671875,7051.48828125,5719.75,5754.86328125,7551.9765625,6506.6328125,4935.734375,4564.03125,0,5881.99609375,5574.0390625,5303.8515625,0,7677.33203125,7625.15234375,6475.48046875,5995.33203125,6641.1875,0,6587.36328125,0,0,8612.9296875,0,6685.13671875,0,0,6156.796875,6275.2890625,6156.796875,5409.53125,5038.1015625,5595.34375,0,0,6601.51953125,5941.5078125,5462.62109375,0,0,5907.09765625,6345.58984375,5862.078125,5147.78125,0,0,0,0,0,5536.4140625,0,0,0,0,0,0,0,0,
2,540.3304533411244,4.698111197987541,6136.46484375,5984.4609375,6076.0625,5717.55859375,5617.31640625,5914.51953125,5913.33203125,6293.8515625,5740.69921875,6938.16796875,5780.03515625,6293.8515625,5779.24609375,5567.02734375,6047.88671875,5832.6015625,5339.00390625,5922.6953125,5805.29296875,5589.7890625,5671.13671875,5968.421875,5922.4453125,5618.58203125,5797.453125,5439.1328125,6317.4609375,5695.515625,5296.41015625,5111.8125,6316.59375,6237.12890625,5830.9375,5778.37890625,6075.265625,5058.6796875,5876.0703125,6370.4140625,5752.3359375,6049.15234375,5645.4921875,6237.52734375,6101.30859375,5914.59765625,6288.81640625,5724.9609375,5215.57421875,5715.84765625,4739.7421875,5690.2734375,5400.95703125,5850.3984375,5931.1328125,5404.296875,6047.08984375,5537.44921875,5805.29296875,5504.734375,5476.6640625,6127.3515625,5726.22265625,
3,785.5843715980404,4.61435191357722,6092.5390625,4630.32421875,4558.015625,5068.66796875,4514.8515625,7457.125,6198.34375,5662.0390625,4906.6640625,5394.55859375,5270.28515625,4662.5703125,6929.4453125,5031.76953125,5271.546875,4624.8515625,5166.6015625,5433.5234375,6594.05078125,5805.0625,5830.36328125,5065.59375,6318.2578125,4134.21875,6914.140625,9519.1484375,6795.17578125,6164.2265625,5145.0859375,5278.01953125,5780.046875,6209.66796875,5098.0078125,6262.59375,4548.41015625,5076.765625,4582.58203125,4601.15625,5742.44140625,6504.79296875,4795.0234375,5651.53515625,5512.44140625,6751.81640625,7158.4453125,6022.2421875,4582.58203125,4141.51171875,5677.90625,4689.87109375,4161.515625,5306.140625,5449.0859375,4956.171875,5554.06640625,4977.78125,5380.71484375,4373.4140625,5501.43359375,5248.953125,5278.01953125,
4,826.5595828325321,5.403006859314748,5743.9609375,4135.9921875,3828.642578125,3552.70703125,4153.36328125,3740.681640625,4584.3046875,3828.888671875,3220.525390625,0,3687.681640625,3400.970703125,4131.4921875,0,3370.876953125,0,7425.98828125,0,0,4610.67578125,0,3322.322265625,0,0,3601.0390625,0,0,3150.76171875,3299.638671875,3380.310546875,4399.70703125,0,4474.66796875,3867.779296875,4118.3671875,3699.80078125,3670.66015625,3605.19140625,3532.826171875,0,3556.08203125,3880.76171875,0,3762.642578125,4267.84765625,3293.23046875,0,3533.345703125,0,0,0,3423.447265625,0,0,3582.97265625,0,0,3504.376953125,3691.91796875,0,3267.37890625,
5,564.3306029272861,4.6444068345867215,5138.13671875,5933.2421875,5451.328125,5484.67578125,5696.01171875,4489.0703125,5763.51171875,5497.54296875,6102.97265625,5908.71875,5035.82421875,4241.55859375,4927.2109375,4990.125,5537.8515625,5213.23828125,5272.62890625,4531.64453125,5273.70703125,5406.77734375,5368.93359375,5601.0703125,5085.44140625,4999.2421875,4357.21484375,4871.859375,4736.60546875,6183.70703125,5423.12890625,5260.3671875,5076.5390625,5248.4140625,5550.84765625,5218.8046875,5036.36328125,5736.625,5060.59375,5444.28515625,5654.76953125,5376.49609375,5537.8515625,5233.99609375,5026.64453125,5616.94921875,5036.36328125,6316.625,5033.21875,5349.5859375,4347.04296875,4947.578125,4986.953125,5243.66796875,6004.09765625,5687.1015625,4444.9453125,5350.6640625,4320.671875,5309.73046875,5451.12109375,5716.88671875,5833.8671875,
6,392.2880816850506,4.614112283362717,4631.90625,4759.21484375,4699.25,4900.83984375,4117.390625,5527.87890625,4631.90234375,4299.8359375,4294.30078125,5060.0390625,4373.4140625,4663.5,5650.45703125,5276.55078125,4136.07421875,4672.87890625,5106.22265625,4426.16015625,4437.2265625,5386.890625,4642.66015625,4563.546875,5096.5078125,4211.6484375,4928.72265625,4584.38671875,6147.5390625,5730.1484375,4558.015625,4396.25,4616.29296875,5090.9765625,5227.390625,5106.5859375,4795.35546875,4927.21484375,5051.41015625,5357.13671875,5181.15625,5115.65625,4849.54296875,5645.80078125,4451.6875,5394.0390625,4734.6875,4497.34375,4988.2421875,4346.203125,5322.78125,4215.1875,4696.76953125,4699.24609375,5140.0,3742.833984375,4927.2109375,4610.7578125,5498.015625,4109.703125,4921.984375,4584.38671875,4299.8359375,
7,179.05346890713307,3.0326914990201908,4123.859375,4083.330078125,4428.09765625,4572.171875,5250.85546875,5246.2578125,4637.12890625,4405.33203125,3985.033203125,4670.6875,4807.8671875,4347.33984375,4461.35546875,4399.78515625,4433.34375,4558.015625,4799.44921875,3978.1015625,0,4794.0078125,4763.95703125,4676.01171875,4861.296875,0,4591.57421875,0,0,4723.4296875,4670.6875,0,4373.4140625,5429.765625,5045.2109375,4320.671875,0,5015.15234375,0,4534.1953125,5289.171875,0,4642.96875,4821.7265625,5366.12890625,0,4681.5546875,4941.5859375,4664.01171875,4354.23046875,0,4909.66796875,5479.64453125,0,4908.02734375,0,4935.08984375,5700.5,4788.68359375,0,5455.8125,5217.8125,0,
8,566.3447890985208,4.721452462868612,3950.029296875,3615.5703125,4246.671875,4768.984375,4716.2421875,3740.50390625,3714.1328125,3976.158203125,4185.14453125,4848.09765625,3993.205078125,3987.294921875,3710.791015625,3985.4609375,3632.640625,3987.294921875,4056.958984375,3793.24609375,3663.71875,4241.55859375,4352.15625,4294.8203125,3692.09765625,3483.265625,3068.939453125,4399.78515625,3090.54296875,4471.55859375,3688.017578125,3874.689453125,4953.5859375,3582.275390625,3401.04296875,3947.802734375,3310.22265625,3896.50390625,3881.80859375,3851.013671875,3956.587890625,4431.26953125,4088.875,3613.916015625,3480.15625,4396.1171875,3430.884765625,4041.06640625,3850.32421875,4458.30078125,3518.865234375,3766.875,4373.4140625,3426.6328125,4663.5,4004.216796875,3322.994140625,3820.392578125,3183.16015625,3753.6171875,4554.34375,3310.22265625,4610.7578125,
9,804.5787582397461,5.710302974496569,3947.52734375,3064.662109375,3504.01953125,3719.5390625,4040.9921875,3733.212890625,5865.125,4030.55078125,3633.134765625,3351.37890625,2728.578125,3812.029296875,3323.189453125,3350.859375,3323.451171875,3375.15625,7078.8671875,6846.71875,3997.666015625,3574.2734375,4312.97265625,0,3824.623046875,3615.091796875,3970.146484375,3326.5625,3552.30859375,3142.220703125,3381.37890625,3370.302734375,6668.75,3315.380859375,3898.693359375,3301.603515625,3509.087890625,3646.01953125,4056.921875,3437.978515625,3426.599609375,3586.126953125,3460.611328125,3732.1953125,3343.931640625,4885.875,0,0,4481.14453125,3329.55859375,2488.09765625,3213.630859375,2987.10546875,3740.466796875,3522.5,0,0,4267.89453125,3271.484375,4066.224609375,2857.841796875,4083.29296875,3561.830078125,
10,830.5945638020834,5.777241902473645,3819.529296875,4080.4453125,3374.849609375,0,3272.22265625,3829.130859375,0,3579.390625,2803.3671875,3062.345703125,3352.375,0,4241.46875,0,3279.748046875,3617.80859375,6279.7265625,4662.05078125,3977.7578125,8407.0078125,0,3193.88671875,4162.35546875,3386.533203125,3061.884765625,0,3294.552734375,0,3741.193359375,0,0,0,3813.9375,0,3505.41015625,3478.314453125,0,1622.083984375,0,7821.6171875,0,3457.341796875,0,3217.45703125,4056.87109375,3661.55859375,0,3245.58984375,3692.0859375,2964.494140625,2987.0703125,3328.703125,0,0,0,0,3610.375,0,3372.568359375,0,3087.73828125,
