row ID,row m/z,row retention time,10102016-01101.CDF Peak height,10102016-01201.CDF Peak height,10102016-01001.CDF Peak height,10102016-01501.CDF Peak height,10102016-01601.CDF Peak height,10102016-01401.CDF Peak height,10102016-01901.CDF Peak height,10102016-00901.CDF Peak height,10102016-02001.CDF Peak height,10102016-01801.CDF Peak height,10102016-01701.CDF Peak height,10102016-01301.CDF Peak height,10102016-02301.CDF Peak height,10102016-02201.CDF Peak height,10102016-02901.CDF Peak height,10102016-02101.CDF Peak height,10102016-02701.CDF Peak height,10102016-03301.CDF Peak height,10102016-02801.CDF Peak height,10102016-02601.CDF Peak height,10102016-03201.CDF Peak height,10102016-03001.CDF Peak height,10102016-03701.CDF Peak height,10102016-03101.CDF Peak height,10102016-03401.CDF Peak height,10102016-04101.CDF Peak height,10102016-03501.CDF Peak height,10102016-03601.CDF Peak height,10102016-04001.CDF Peak height,10102016-04401.CDF Peak height,10102016-03901.CDF Peak height,10102016-03801.CDF Peak height,10102016-04501.CDF Peak height,10102016-04801.CDF Peak height,10102016-04701.CDF Peak height,10102016-04601.CDF Peak height,10102016-05301.CDF Peak height,10102016-05101.CDF Peak height,10102016-05001.CDF Peak height,10102016-04901.CDF Peak height,10102016-05401.CDF Peak height,10102016-05201.CDF Peak height,10102016-05801.CDF Peak height,10102016-05501.CDF Peak height,10102016-05601.CDF Peak height,10102016-05901.CDF Peak height,10102016-06201.CDF Peak height,10102016-05701.CDF Peak height,10102016-06701.CDF Peak height,10102016-06401.CDF Peak height,10102016-06301.CDF Peak height,10102016-06501.CDF Peak height,10102016-06601.CDF Peak height,10102016-07001.CDF Peak height,10102016-06801.CDF Peak height,10102016-06901.CDF Peak height,10102016-07301.CDF Peak height,10102016-07401.CDF Peak height,10102016-07201.CDF Peak height,10102016-07101.CDF Peak height,10102016-07501.CDF Peak height,
1,991.6792527495837,4.696067215966397,18699.703125,14868.2734375,15324.0703125,12731.1484375,9858.296875,13765.1796875,15054.8359375,16483.015625,11511.984375,9555.75,11665.578125,15689.265625,9665.4296875,11510.59375,18072.1875,10061.4296875,12172.7265625,12077.515625,12365.9296875,11872.6171875,13118.6484375,11667.71875,10971.265625,10594.0234375,11814.578125,11392.7578125,12249.859375,11319.4921875,13287.125,11828.03125,9860.8671875,14465.1953125,8395.2109375,8700.8515625,8930.703125,9254.609375,10202.984375,9112.640625,16130.9296875,10100.703125,11177.578125,8682.890625,10368.59375,7811.63671875,10892.7109375,8341.46875,14047.25,13543.671875,10588.703125,14234.796875,10108.828125,15550.8984375,9929.140625,11532.8671875,9950.296875,13388.3203125,8862.8125,8730.8984375,7211.08203125,11802.546875,11918.625,
2,496.341547505536,4.6958885271041115,17259.875,15052.4453125,15384.5703125,12248.640625,15601.828125,15052.4453125,13409.5859375,16648.625,14131.8125,13282.4765625,13301.3984375,14514.1015625,12417.9921875,14572.953125,13807.9765625,12306.9921875,14873.8359375,13786.4765625,13061.078125,12871.25,15055.5546875,13024.4453125,10906.296875,12082.765625,11987.5,11726.359375,14121.65625,12523.0625,11929.46875,14066.2265625,11542.1796875,12654.859375,13488.703125,12826.9921875,10281.1875,13235.171875,15192.5078125,13090.09375,15284.890625,12428.390625,13590.9296875,11729.40625,13630.671875,12121.8515625,13003.046875,11571.1796875,15284.5703125,12248.640625,14151.0390625,14238.0859375,13939.1171875,14894.71875,12156.5078125,11951.484375,12179.8828125,13063.3125,12136.3046875,12770.921875,10333.6015625,14511.875,12834.6015625,
3,520.3411900254547,4.642193168890281,14558.6953125,13148.9453125,12238.2578125,9477.3203125,8115.890625,12974.03125,10029.7734375,14997.6953125,11175.0546875,9174.65625,11526.578125,12308.3125,9873.5,10627.9140625,10018.484375,10304.5859375,10246.546875,9447.7734375,10424.8046875,10772.9921875,9583.34375,8597.3046875,10685.9453125,8872.6328125,10413.9921875,9281.21875,8220.0078125,7383.0625,8670.296875,9985.40625,10942.9296875,11349.1484375,8249.4453125,10753.484375,10558.6875,10849.2265625,10362.6171875,8840.7890625,10221.6875,10424.8046875,10596.3828125,9729.25,8468.9453125,8853.7734375,8256.9140625,8443.828125,10622.9296875,12277.65625,8379.875,10623.7578125,10564.8984375,10635.765625,9722.6171875,13213.5859375,9042.0390625,9076.6328125,9187.9375,8479.6796875,9520.3359375,10217.53125,9782.2890625,
4,524.3721498583184,4.814500793081815,10026.1796875,9822.9453125,8389.1796875,9750.6015625,6804.32421875,7099.6328125,7540.59375,13264.1875,7482.81640625,8888.234375,8886.9609375,9463.125,7808.7265625,9434.109375,9807.53125,7285.52734375,8294.28125,8961.90625,9956.390625,8809.171875,8587.2421875,6832.52734375,8472.3046875,6831.02734375,8741.6171875,7781.2734375,7434.02734375,7845.890625,8498.7421875,8911.8046875,8395.0390625,8055.84765625,7894.6796875,8416.3671875,5968.421875,6587.36328125,9360.4765625,6287.84375,8845.875,6530.38671875,7427.90234375,7130.14453125,8127.99609375,7295.1171875,7238.23828125,8105.75390625,8719.65625,7322.02734375,5385.015625,9150.75,9204.484375,8783.2734375,8583.6484375,9689.7421875,6013.828125,7022.18359375,5879.27734375,8416.9765625,7227.24609375,8452.2265625,8355.515625,
5,522.3571807361039,4.720016370054151,9325.2265625,9395.8203125,10206.7265625,8296.3125,7215.2578125,9452.3125,7812.3046875,12168.984375,7070.0703125,7126.54296875,7455.359375,9600.390625,6452.8125,6318.2578125,7675.01953125,7628.49609375,7026.48828125,6668.09765625,7095.4609375,8059.421875,7225.84375,7237.46875,8000.80078125,6121.9609375,8443.828125,6757.359375,7238.015625,5535.49609375,7330.16015625,8737.203125,6129.8828125,6642.8203125,7896.4453125,7911.390625,6109.98046875,6750.34375,8303.890625,7647.55859375,8968.546875,6793.203125,7406.37109375,5694.046875,7429.5546875,6992.75390625,5303.8515625,7133.65234375,8445.484375,8626.40625,5484.02734375,7500.171875,7972.74609375,8603.6328125,7183.1015625,8196.7109375,8059.421875,6674.30859375,7388.58984375,7189.75390625,5301.6953125,7601.5859375,6573.3046875,
6,782.5713215812308,5.387725705006083,8775.484375,6765.19921875,8933.5390625,7465.046875,6964.11328125,8225.765625,7798.265625,8048.66796875,6443.24609375,7415.421875,7365.70703125,7911.37890625,6380.61328125,6156.796875,7180.78515625,6829.98046875,6789.3203125,5968.41796875,6237.52734375,6244.1953125,6102.97265625,6235.81640625,4874.46875,6383.22265625,6302.640625,6383.37109375,6291.34765625,6760.22265625,6272.96875,6318.2578125,7044.84765625,7751.4921875,5910.12890625,6560.453125,7104.0078125,6248.671875,6533.54296875,6237.52734375,6614.27734375,6669.0625,7074.91015625,6883.3828125,5914.59765625,6479.72265625,6776.16015625,6657.5546875,6002.98828125,6560.453125,7125.99609375,5694.82421875,6173.1640625,6210.6171875,6183.70703125,5914.59765625,6415.359375,9933.7421875,6614.27734375,5833.8671875,5753.2421875,6520.390625,7835.18359375,
7,760.5886265488922,5.708233340841825,8181.31640625,7323.06640625,7209.46484375,6829.5625,7002.8515625,6641.1875,10672.7578125,8253.796875,6158.94140625,6156.796875,5916.68359375,10358.0859375,5583.14453125,5946.47265625,6082.0546875,6400.50390625,5677.90625,5891.57421875,5503.20703125,4790.40234375,5942.15625,5781.234375,5042.359375,6309.73046875,5945.93359375,5852.80859375,5141.30859375,5699.3125,5806.95703125,5505.71484375,5645.4921875,5620.30859375,5655.34765625,6014.36328125,5968.421875,6049.15234375,5421.3984375,5618.59765625,4971.59765625,5346.796875,5806.95703125,5645.4921875,5486.29296875,6537.2421875,6479.72265625,8576.0234375,5726.22265625,5457.765625,4982.54296875,5166.0625,6437.7265625,4610.7578125,5014.69921875,5648.8203125,5323.2109375,5914.59765625,5922.22265625,5328.60546875,4930.33984375,5095.54296875,5325.40625,
8,786.6051375123816,5.773049159128158,7972.1484375,7482.81640625,9036.2890625,7217.8203125,7013.12890625,7944.91796875,13210.2265625,8934.671875,6076.0625,7403.9921875,7647.55859375,9676.53125,6102.97265625,6291.34765625,7576.78125,6320.01953125,6640.45703125,6479.72265625,6587.36328125,6182.2421875,6123.4375,5458.3046875,6102.97265625,5992.109375,5754.32421875,5752.890625,5914.70703125,5848.80078125,11931.75,5806.95703125,6395.765625,6826.75390625,5383.5078125,5403.9453125,9042.921875,5458.84375,6156.0625,6103.62109375,5539.578125,5702.84765625,5753.13671875,6589.453125,5457.1171875,6022.2421875,5914.59765625,6049.15234375,5435.421875,6071.2578125,9616.2265625,6049.15234375,5591.671875,5192.43359375,5564.76171875,5970.1796875,6077.82421875,7022.39453125,6156.79296875,6721.91796875,5428.8828125,6170.9921875,6049.15234375,
9,810.6058018114169,5.654086910310339,7206.35546875,6022.2421875,8086.87890625,6142.140625,5324.29296875,6264.4375,7758.06640625,9172.96875,6257.65234375,9890.546875,7652.0625,9151.7265625,5709.78515625,6533.54296875,11753.59375,6096.1875,7374.75390625,6237.52734375,6695.0078125,7076.00390625,5140.23046875,6883.3828125,4805.62109375,5164.5546875,6995.2734375,6086.53515625,7752.296875,7439.26171875,6291.34765625,5968.41796875,5780.15625,6204.6484375,5382.42578125,5808.14453125,4505.2734375,6151.80078125,7252.52734375,5360.37109375,7266.56640625,6076.0625,5430.31640625,6453.23046875,5982.45703125,5618.58203125,6330.515625,5948.765625,6668.09765625,7361.45703125,5780.6953125,6345.16796875,6170.83203125,8169.25390625,6735.95703125,7472.8046875,7721.18359375,6883.80078125,5672.40234375,4655.09765625,5431.39453125,7245.4921875,7321.48046875,
10,835.657881424549,4.890480619962098,6416.6640625,1617.9140625,9177.03125,4589.15625,1353.5673828125,9692.3984375,1323.5703125,11.580657958984375,4084.10546875,370.391357421875,3845.990234375,5780.15625,4373.4140625,1016.1943359375,1386.619140625,3095.220703125,1561.3427734375,2651.0390625,1385.447265625,2.7557640075683594,1226.9833984375,2573.48046875,776.0166015625,1338.8271484375,1520.814453125,4320.9296875,4912.1953125,2832.791015625,1202.78125,5.05596923828125,1221.4208984375,4610.7578125,3378.298828125,3985.326171875,945.447265625,5435.7109375,3272.8125,1177.7783203125,2625.185546875,1258.3740234375,4716.2421875,4033.298828125,5245.71875,5334.0,3355.552734375,4123.6484375,9.075225830078125,5328.03125,4083.330078125,661.91650390625,3613.56640625,4809.30859375,2552.3046875,1046.55859375,3960.6484375,5917.9453125,1559.482421875,1150.705078125,4927.64453125,1140.25390625,3426.6328125,
